,t,inlet,1,2,3,4,5
0,0.0,1,0.0,0.0,0.0,0.0,0.0
1,0.06,1,0.44999999999999996,0.0,0.0,0.0,0.0
2,0.12,1,0.6975,0.20249999999999996,0.0,0.0,0.0
3,0.18,1,0.8336250000000001,0.42524999999999996,0.09112499999999997,0.0,0.0
4,0.24,1,0.90849375,0.6090187499999999,0.24148124999999998,0.04100624999999998,0.0
5,0.3,1,0.9496715625,0.7437825,0.40687312499999995,0.13121999999999998,0.01845281249999999
6,0.36,1,0.972319359375,0.8364325781249999,0.5584823437499999,0.25526390624999995,0.06919804687499997
7,0.42,1,0.98477564765625,0.8975816296875,0.68355994921875,0.39171220312499994,0.15292768359374997
8,0.48,1,0.9916266062109376,0.9368189377734375,0.7798697054296875,0.5230436888671874,0.26038071738281243
9,0.54,1,0.9953946334160156,0.9614823885703125,0.8504968599843751,0.6386153963203125,0.3785790545507813
10,0.6,1,0.9974670483788086,0.9767428987508789,0.9004403478480468,0.7339620549691406,0.4955954083470702
11,0.6599999999999999,1,0.9986068766083447,0.9860687660834473,0.9347764957543212,0.8088772867646483,0.6028603993270018
12,0.72,1,0.9992337821345896,0.9917109158196511,0.9578580174024279,0.8655319308100011,0.6955679986739428
13,0.78,1,0.9995785801740242,0.9950962056613735,0.9730918216901784,0.9070786697765932,0.7720517681351691
14,0.84,1,0.9997682190957133,0.9971132741920663,0.9829937944772161,0.9367845881377065,0.8328138738738099
15,0.8999999999999999,1,0.9998725205026423,0.9983079993987075,0.9893475603488987,0.9575787309904858,0.8796006952925634
16,0.96,1,0.9999298862764533,0.9990120338954782,0.9933797579213127,0.9718747042017717,0.9146908113566286
17,1.02,1,0.9999614374520494,0.999425067466917,0.9959142821096872,0.9815519783755652,0.940423563136943
18,1.08,1,0.9999787905986272,0.9996664339602266,0.9974941355204406,0.9880150150559202,0.958931349994323
19,1.14,1,0.999988334829245,0.9998069944475069,0.9984716698183443,0.9922806192649544,0.9720189992720416
20,1.2,1,0.9999935841560847,0.999888597619289,0.9990725659014675,0.9950665920139798,0.9811367282688523
21,1.26,1,0.9999964712858466,0.9999358415608471,0.9994397801744872,0.9968692802633493,0.9874051669541597
22,1.3199999999999998,1,0.9999980592072156,0.9999631249370968,0.9996630077983492,0.9980260052233614,0.9916640179432951
23,1.38,1,0.9999989325639685,0.9999788453586503,0.9997980605107856,0.9987626563821059,0.9945269122193249
24,1.44,1,0.9999994129101827,0.9999878846010435,0.9998794136923247,0.9992285882400118,0.9964329970925764
25,1.5,1,0.9999996771006004,0.9999930723401561,0.9999282256012482,0.9995214596935527,0.9976910131089223
26,1.56,1,0.9999998224053303,0.999996044482356,0.9999574066337568,0.9997045043520156,0.998514714072006
27,1.6199999999999999,1,0.9999999023229317,0.9999977445476944,0.9999747936656265,0.9998183103787991,0.9990501196980103
28,1.68,1,0.9999999462776125,0.9999987155465512,0.999985121562557,0.9998887278578714,0.9993958055043652
29,1.74,1,0.9999999704526868,0.9999992693755287,0.9999912388553543,0.99993210502498,0.999617620563443
30,1.7999999999999998,1,0.9999999837489778,0.9999995848602499,0.9999948525894328,0.9999587152486484,0.9997591385711346
31,1.8599999999999999,1,0.9999999910619378,0.9999997643601775,0.9999969821113005,0.9999749770520013,0.9998489480760159
32,1.92,1,0.9999999950840658,0.9999998663759696,0.9999982341232951,0.999984879328686,0.9999056611152093
33,1.98,1,0.9999999972962362,0.9999999242946129,0.9999989686369987,0.9999908889862601,0.9999413093112738
34,2.04,1,0.99999999851293,0.9999999571453434,0.9999993986829251,0.9999945248290925,0.9999636201650176
35,2.1,1,0.9999999991821115,0.9999999757607574,0.9999996499910133,0.9999967180633171,0.9999775272638513
36,2.16,1,0.9999999995501613,0.9999999863003667,0.9999997965873981,0.9999980374307804,0.9999861631236109
37,2.2199999999999998,1,0.9999999997525887,0.9999999922627743,0.999999881958234,0.9999988290512584,0.9999915065618372
38,2.28,1,0.9999999998639237,0.9999999956331908,0.9999999315952771,0.9999993028593974,0.9999948016820768
39,2.34,1,0.9999999999251581,0.9999999975370206,0.9999999604123383,0.9999995857905433,0.9999968272118711
40,2.4,1,0.9999999999588369,0.9999999986116825,0.9999999771184453,0.999999754370351,0.9999980685722736
41,2.46,1,0.9999999999773603,0.9999999992179021,0.9999999867904021,0.9999998546069935,0.9999988271814084
42,2.52,1,0.9999999999875482,0.9999999995596582,0.9999999923827771,0.9999999140895274,0.9999992895229217
43,2.58,1,0.9999999999931515,0.9999999997522088,0.9999999956123736,0.9999999493214897,0.9999995705778942
44,2.6399999999999997,1,0.9999999999962333,0.999999999860633,0.9999999974752994,0.9999999701523875,0.9999997410125122
45,2.6999999999999997,1,0.9999999999979283,0.9999999999216532,0.9999999985486996,0.9999999824476978,0.9999998441254561
46,2.76,1,0.9999999999988606,0.999999999955977,0.9999999991665287,0.9999999896931486,0.9999999063704649
47,2.82,1,0.9999999999993733,0.9999999999752746,0.9999999995217804,0.9999999939561697,0.9999999438656726
48,2.88,1,0.9999999999996553,0.999999999986119,0.9999999997258527,0.9999999964606945,0.9999999664063963
49,2.94,1,0.9999999999998104,0.9999999999922103,0.9999999998429726,0.9999999979300157,0.9999999799308305
50,3.0,1,0.9999999999998958,0.9999999999956304,0.9999999999101296,0.9999999987908463,0.9999999880304639
51,3.06,1,0.9999999999999427,0.9999999999975498,0.9999999999486049,0.9999999992945238,0.999999992872636
52,3.12,1,0.9999999999999685,0.9999999999986267,0.9999999999706302,0.9999999995888603,0.9999999957624854
53,3.1799999999999997,1,0.9999999999999827,0.9999999999992305,0.9999999999832285,0.9999999997606568,0.9999999974843541
54,3.2399999999999998,1,0.9999999999999905,0.999999999999569,0.9999999999904294,0.9999999998608141,0.9999999985086903
